0,1,2,3,4,5,6,7,8
453,468,561,748,379,327,436,690,1155
648,694,831,881,421,387,465,565,1293
538,546,800,920,404,285,290,339,939
1017,1233,1101,1273,643,471,677,749,1365
401,429,464,565,376,319,310,411,788
637,565,449,466,263,248,318,481,2215
989,1360,1151,799,420,388,661,918,2300
1265,1636,1459,1074,623,568,569,801,1610
843,931,630,572,330,298,344,380,676
554,1364,2466,2671,1143,738,833,899,1289
794,1391,2003,2018,956,690,761,890,1131
556,913,1368,1149,576,338,264,250,407
391,551,796,1163,590,414,478,435,536
1251,790,533,497,275,210,304,869,1920
663,1327,1604,1391,678,589,849,1082,2427
1249,1931,2112,2555,1501,1252,1479,1626,2895
102,107,116,124,77,100,131,155,282
3267,2094,1528,1216,765,742,1020,1129,2292
133,250,275,503,265,154,256,560,1046
390,631,798,842,502,303,406,429,1342
710,1257,1600,2001,1332,1167,1256,905,1675
408,775,653,637,289,281,328,515,1063
1951,2982,2977,3058,1338,834,997,1395,3232
248,499,717,872,515,386,482,754,1209
483,1147,1267,1337,637,584,766,858,1892
403,651,682,747,346,217,342,702,991
178,305,439,364,171,97,118,151,351
255,480,611,598,426,362,561,926,1910
250,431,482,626,594,655,1089,1109,1564
386,593,745,923,799,911,1369,1641,2937
184,252,304,445,345,648,2029,2576,2998
277,427,391,578,497,781,2753,3187,3725
200,480,740,1468,1999,2453,3971,3653,4322
145,201,220,233,157,307,670,1091,1399
130,197,254,261,154,190,609,773,877
201,323,345,370,300,425,881,1053,1733
315,428,517,789,622,586,1068,1530,2493
240,313,351,401,256,250,570,1180,1528
172,239,286,327,255,362,722,1107,1425
221,422,478,763,553,805,2229,3035,3675
464,763,559,593,288,281,807,1531,3304
593,730,677,866,425,486,973,1479,1988
290,592,652,745,358,287,602,1358,2523
64,100,132,177,97,66,146,493,2392
2728,2212,2613,2854,1485,1149,1366,2141,3872
905,1202,1166,1267,676,612,910,1445,2654
947,1191,1279,1366,600,497,944,1444,2940
386,726,966,1014,549,351,456,635,1978
222,428,467,682,342,184,482,1239,2958
0,0,0,0,0,0,0,0,0
391,610,645,962,567,520,746,1281,2615
176,261,309,421,259,362,952,1585,2468
233,341,461,504,316,608,1543,2043,2685
704,894,1069,1384,810,763,854,1011,1637
860,1288,1225,1212,556,379,771,1554,4598
360,580,500,554,277,224,394,809,1898
1788,2319,2081,1675,965,658,633,707,1509
1149,1535,1506,1181,615,638,547,718,1234
3657,4173,3364,2755,1548,1392,1432,1634,3190
1567,2444,2461,1764,857,552,669,666,1293
1595,1928,1841,1562,859,679,658,716,1323
1806,2430,1983,1494,666,519,652,749,1640
1222,1886,1512,1278,654,506,519,997,1817
1196,1843,1463,1188,562,373,403,596,1277
1095,1431,1268,969,452,316,538,858,1612
2208,3306,2660,1866,1074,884,766,962,2213
1372,1078,703,535,267,232,314,499,2629
4099,2900,1934,1751,776,648,962,1603,4989
1128,1121,818,696,357,328,382,558,1915
1698,1446,1067,946,428,303,409,896,3790
1278,1244,938,797,353,287,534,1281,4216
1571,1880,1646,1289,695,506,626,775,1018
1552,2547,1931,1495,886,906,956,1056,1581
1446,2022,1618,1294,765,752,946,798,1246
3700,3691,3017,2413,1509,1158,1317,1526,2513
1626,1411,1559,1875,880,505,658,618,1190
594,872,958,1182,643,423,417,523,899
495,515,720,903,554,524,639,593,1134
1248,1335,1416,1538,754,655,645,975,2111
3905,4733,5272,6455,4083,3222,4172,5687,12603
907,1021,1161,1399,951,732,1096,1412,3013
667,1423,2048,2515,1467,905,1077,1461,3342
965,1578,2001,2385,1375,961,1226,1791,4526
637,749,829,969,563,465,590,850,1724
862,1400,1452,1658,1050,777,927,1341,3379
652,1037,1188,1429,1047,951,1161,1729,3913
3035,4052,4320,3861,1961,1440,1347,1349,2291
937,1259,1297,1369,741,575,477,550,969
1866,2825,3436,3348,1641,1128,1019,1082,2000
4533,4976,4796,4530,2085,1620,1640,2240,3940
1561,2275,2416,2229,1177,855,761,946,1482
695,1110,1189,1117,531,299,374,766,1323
91,90,80,89,62,73,112,110,203
338,527,598,836,774,1064,2739,3373,5125
602,826,782,1046,824,1044,2637,4640,5896
