0,1,2,3,4,5,6,7,8
447,460,558,747,348,318,425,693,1121
643,691,830,880,393,387,450,563,1312
540,546,799,921,329,272,278,334,933
1023,1233,1101,1274,651,472,700,750,1385
392,422,461,561,377,308,273,402,752
614,563,430,460,270,232,278,470,2207
990,1359,1150,798,419,387,683,922,2335
1265,1635,1458,1073,585,569,562,801,1609
842,930,627,572,319,305,331,371,655
556,1367,2467,2671,1125,736,833,900,1291
797,1391,2003,2019,947,681,761,890,1131
556,914,1367,1140,574,278,252,244,412
390,551,798,1163,581,404,478,433,529
1251,783,533,497,269,209,302,869,1917
663,1330,1605,1391,639,582,849,1082,2424
1248,1931,2109,2555,1503,1247,1479,1626,2887
58,44,74,63,40,66,64,108,168
3267,2094,1529,1215,765,738,1020,1129,2288
141,249,273,503,195,144,261,563,1042
394,631,797,842,502,256,407,427,1344
710,1257,1600,2002,1337,1162,1256,905,1677
396,776,646,636,302,276,278,510,1041
1956,2983,2977,3057,1380,836,1002,1393,3250
220,497,717,872,409,384,475,753,1197
482,1148,1267,1337,630,587,764,855,1885
405,651,681,747,281,215,343,703,984
178,303,440,356,148,67,121,142,398
260,480,611,600,426,334,563,926,1908
250,430,482,626,591,660,1089,1109,1564
379,592,745,923,800,911,1369,1642,6219
182,245,301,443,344,650,2026,2649,3040
282,422,378,573,504,778,2753,3181,3496
187,480,740,1468,1998,2446,3960,3626,2888
116,179,202,205,131,308,667,1090,1404
127,193,251,257,141,188,611,773,868
215,337,344,373,306,429,883,1051,1754
301,419,517,789,624,583,1067,1531,2525
235,311,349,398,226,235,568,1180,1540
177,234,288,332,259,365,725,1108,1414
216,423,477,765,535,799,2231,3034,3902
463,761,558,591,324,281,808,1532,3303
598,732,678,865,385,487,974,1479,1993
274,592,650,749,277,286,600,1358,2523
36,80,124,169,87,41,138,493,2420
2729,2212,2613,2853,1488,1159,1366,2139,3870
905,1202,1166,1268,673,612,910,1445,2657
947,1191,1280,1365,697,498,945,1444,2947
385,726,965,1015,550,278,455,636,1704
220,429,468,683,416,162,498,1240,2958
0,0,0,0,0,0,0,0,0
393,610,645,962,569,512,746,1281,2613
165,260,305,421,236,358,951,1587,2749
230,339,461,502,296,608,1542,2046,4280
706,895,1069,1385,810,764,857,1009,1632
860,1289,1225,1213,633,381,771,1555,4592
361,579,500,554,253,225,396,809,1900
1788,2318,2081,1676,846,655,639,703,1501
1149,1535,1506,1181,628,641,520,720,1209
3657,4174,3363,2756,1362,1291,1441,1637,3798
1567,2444,2461,1764,875,549,675,660,1287
1597,1928,1842,1563,802,681,663,717,1333
1806,2430,1983,1494,783,515,647,743,1618
1222,1886,1508,1279,715,499,505,995,1805
1197,1843,1461,1188,657,360,383,592,1260
1095,1431,1268,969,540,299,531,857,1592
2208,3305,2661,1865,927,893,768,971,2257
1373,1078,702,527,288,207,275,489,2630
4099,2900,1934,1749,857,660,981,1606,5709
1128,1121,816,695,385,318,359,551,1899
1699,1446,1067,945,506,294,400,895,3796
1278,1244,938,797,432,271,524,1281,4211
1572,1880,1647,1287,604,499,623,774,995
1552,2548,1931,1495,882,909,956,1056,1586
1446,2023,1616,1294,764,754,945,798,1243
3700,3691,3018,2409,1511,1160,1316,1530,2522
1560,1412,1559,1875,1012,508,683,611,1228
615,873,958,1181,705,417,395,530,862
489,510,720,902,568,528,650,579,1100
1248,1336,1417,1538,847,656,643,983,2144
3906,4737,5274,6456,4093,3221,4172,5689,12614
908,1021,1161,1400,947,737,1097,1412,3009
668,1424,2048,2516,1341,901,1076,1461,3347
966,1578,2002,2386,1291,960,1226,1792,4530
632,751,829,969,468,462,584,850,1733
862,1402,1451,1657,904,774,927,1342,3379
652,1037,1188,1428,1056,951,1160,1730,3923
3034,4054,4317,3861,1941,1439,1347,1349,2300
937,1259,1296,1369,618,572,428,547,949
1866,2825,3437,3349,1520,1128,1020,1084,2009
4533,4975,4795,4532,2317,1614,1640,2240,3943
1561,2275,2417,2230,1068,852,761,946,1482
721,1111,1189,1115,649,273,354,787,1303
52,22,13,13,9,21,33,15,11
323,519,591,830,779,1062,2737,3370,5251
606,832,784,1047,829,1045,2635,4641,6374
280,509,701,1010,753,983,2770,3769,4605
466,588,761,1068,787,824,2066,3377,5538
410,544,516,790,636,1027,2812,4283,5107
436,465,385,505,291,433,1347,2053,2825
407,676,620,943,765,1018,2989,4529,6515
745,1116,1023,1235,883,855,2028,3269,5577
627,755,684,1092,799,1326,3539,4877,7018
327,487,451,842,603,865,2252,3245,4859
627,715,526,762,546,856,2406,3273,4120
420,602,411,544,295,334,1084,1633,2190
445,603,521,588,503,825,2206,3312,4438
398,526,537,734,482,834,1878,2857,3737
433,713,943,1451,1077,1590,3973,4175,5090
588,861,800,1036,692,880,2044,3451,4886
519,737,648,817,649,663,1759,3066,4738
390,508,451,568,312,501,1639,2231,3042
279,349,239,333,195,290,757,1172,1588
331,482,346,487,415,619,1268,1616,2072
520,740,636,740,496,691,2457,3370,4803
351,469,402,578,429,659,2162,3288,4927
257,435,362,554,484,640,1618,2465,3030
637,856,895,1163,1124,1416,3633,5127,7647
574,852,968,1306,1304,1484,4087,5009,6653
370,431,327,369,201,292,1101,1749,1718
400,620,461,567,447,706,2211,3313,4971
244,354,386,533,337,576,1533,2409,3241
611,879,944,1250,945,1189,3342,4584,6044
401,627,646,906,832,1315,2972,3682,4976
509,722,619,800,426,698,2473,3312,3962
389,590,561,571,307,385,1249,1853,2395
616,906,1091,1217,882,1227,2604,4094,5468
548,741,913,1195,615,700,1588,2542,4973
1018,1406,1363,1497,536,598,986,1886,4829
2120,3700,3849,3642,1733,1570,2099,2640,4743
837,976,1124,1380,821,872,1417,1528,2503
320,521,487,1069,621,1163,3279,4320,6562
1792,2258,2266,3364,2968,4857,13473,20276,24077
519,888,1165,1532,1008,983,1516,2023,3411
1227,2212,2515,3008,1562,1635,3456,6657,11621
1364,2038,2205,2828,1981,2727,6340,11211,29204
1096,2237,3598,6678,6331,8545,15254,14839,51706
6949,7402,5751,5221,3371,3069,3899,4595,9416
1949,2995,3186,3809,1803,1611,1857,2484,3963
1184,2121,2721,3823,2747,2704,2878,2742,3400
761,1221,1355,1820,1187,1344,2394,3887,6874
1071,1480,2047,2400,1454,1484,2319,3568,7418
1159,1663,2337,2430,998,932,1132,1833,3988
3205,4106,3682,3363,1941,1794,2615,2997,5254
768,1228,1398,1379,689,930,2166,3505,6085
345,566,789,1148,687,727,1243,2015,2950
2067,3988,4754,5285,2891,2392,2931,3508,6468
507,819,815,970,738,912,1962,2934,5777
1421,2087,2388,2834,1911,2575,5738,9496,13096
1089,1733,1824,2245,1243,1082,1737,2093,3694
514,1152,1226,1568,873,924,2284,4544,8959
848,1349,1825,1974,1046,803,1327,1929,4702
