0,1,2,3,4,5,6,7,8
448,460,558,747,373,321,428,692,1132
643,691,831,880,416,390,454,564,1305
540,546,800,922,400,279,280,335,934
1023,1234,1101,1274,641,473,690,750,1378
393,422,461,563,378,314,285,402,764
623,563,442,460,262,235,292,470,2209
990,1359,1151,798,417,386,676,921,2327
1265,1636,1459,1073,621,567,561,801,1612
843,931,627,571,323,293,333,372,663
555,1365,2466,2671,1138,738,833,898,1289
794,1391,2003,2018,958,689,761,890,1130
556,914,1367,1150,576,337,254,243,396
390,551,796,1163,585,413,478,431,527
1251,789,533,497,271,208,302,869,1920
663,1329,1605,1391,676,589,849,1080,2428
1248,1931,2112,2555,1503,1252,1479,1626,2896
77,70,88,90,61,78,98,124,225
3268,2094,1528,1216,765,742,1020,1129,2293
139,249,273,503,259,145,256,559,1046
393,631,798,842,500,299,407,428,1343
710,1257,1600,2001,1334,1167,1257,905,1675
397,775,648,636,284,274,308,510,1050
1954,2983,2979,3057,1330,834,1001,1394,3244
229,497,717,872,517,382,475,753,1200
482,1147,1268,1337,634,584,763,857,1884
405,651,682,746,339,214,343,702,989
177,305,439,362,165,81,106,141,353
259,481,611,598,426,362,561,927,1909
250,430,482,626,592,656,1089,1109,1563
380,592,745,923,799,911,1369,1641,2938
181,246,301,443,343,648,2029,2576,2998
280,422,380,573,497,781,2754,3188,3725
190,480,740,1467,1999,2453,3973,3653,4322
126,183,206,215,143,307,668,1090,1396
127,195,251,259,148,189,609,773,872
212,336,344,374,301,433,884,1052,1746
303,419,517,791,624,580,1066,1530,2495
236,310,349,397,248,238,569,1180,1529
175,235,287,329,254,367,725,1109,1417
216,423,478,763,554,806,2231,3034,3674
464,763,558,592,279,279,808,1531,3302
597,731,678,864,416,486,973,1479,1987
276,592,650,745,350,274,599,1358,2523
49,83,125,170,89,49,132,493,2406
2728,2212,2613,2854,1485,1150,1368,2140,3874
905,1203,1167,1267,675,612,911,1445,2654
947,1191,1279,1365,594,497,945,1444,2939
385,726,965,1014,549,348,455,636,1974
220,428,467,681,332,176,493,1239,2957
0,0,0,0,0,0,0,0,0
392,610,645,963,567,519,746,1284,2616
166,258,305,421,254,361,952,1585,2467
230,339,461,502,311,610,1543,2043,2686
703,895,1069,1384,810,764,856,1009,1639
860,1288,1225,1212,548,379,771,1554,4599
360,579,500,554,270,222,394,809,1898
1789,2318,2082,1675,966,654,637,703,1505
1149,1535,1506,1181,613,640,534,720,1217
3657,4173,3364,2755,1550,1401,1440,1637,3215
1567,2443,2461,1764,855,549,672,660,1289
1595,1928,1841,1562,861,680,659,717,1330
1806,2430,1983,1494,654,513,646,743,1626
1222,1886,1512,1278,648,499,509,995,1809
1196,1843,1463,1188,550,361,386,592,1267
1095,1431,1268,968,441,300,532,856,1597
2209,3305,2661,1865,1074,891,768,969,2243
1372,1078,698,527,261,210,284,489,2629
4098,2900,1934,1750,768,659,978,1606,4977
1128,1121,817,695,352,317,365,551,1905
1698,1446,1067,945,422,295,402,895,3790
1278,1244,938,796,344,272,526,1280,4214
1572,1880,1646,1289,694,501,622,774,998
1553,2547,1931,1495,886,905,956,1056,1581
1446,2023,1618,1294,765,752,945,797,1244
3700,3691,3017,2412,1509,1158,1317,1528,2515
1621,1411,1559,1874,867,507,677,612,1208
596,873,958,1182,645,419,403,526,876
487,510,721,902,556,528,647,581,1112
1250,1336,1418,1537,752,656,643,981,2135
3905,4734,5272,6455,4083,3223,4172,5687,12601
