0,1,2,3,4,5,6,7,8
92823,92371,91850,91128,91017,90918,90608,90011,88914
139759,139083,138308,137544,137496,137393,137115,136750,135504
136190,135659,134868,133986,133971,133973,133878,133732,132837
195519,194249,193355,192271,192146,192135,191722,191277,190122
106066,105642,105230,104712,104510,104376,104216,103936,103196
127999,127564,127253,126927,126883,126822,126635,126268,123748
208062,206685,205723,205344,205373,205329,204869,204161,201811
147394,145695,144473,143880,143800,143673,143481,142999,141556
137951,137023,136637,136285,136234,136180,136020,135840,135311
258795,257194,254343,251756,251703,251744,251401,251002,250151
339813,338232,336090,334267,334141,334090,333756,333286,332563
158676,157605,156174,155208,155146,155210,155273,155315,155136
171584,170995,170167,168963,168747,168677,168404,168219,167922
208373,207809,207590,207302,207315,207364,207247,206420,204281
256116,254626,252932,251865,251801,251664,251071,250267,247876
351938,349825,347790,345468,344778,344347,343367,342378,339789
39740,39628,39514,39407,39372,39299,39186,39062,38787
325180,324111,323369,322901,322950,322918,322434,321901,319988
192582,192289,192015,191496,191353,191354,191169,190593,189472
179245,178508,177704,176943,176730,176722,176498,176242,174904
255208,253761,252096,250180,249380,248799,247961,247707,246412
192497,191624,191055,190579,190583,190513,190330,189939,188896
460111,456743,454014,451498,451546,451800,451507,450725,447720
214594,214022,213243,212403,212150,212030,211707,211059,209926
284256,282891,281602,280450,280344,280150,279613,279052,277238
261428,260681,260036,259388,259348,259389,259189,258534,257603
135952,135613,135143,134849,134845,134875,134845,134770,134460
221779,221213,220579,220063,219826,219650,219191,218290,216276
201810,201329,200846,200259,199759,199249,198183,197225,195864
212333,211700,210936,210071,209437,208763,207457,205985,202984
182812,182533,182235,181797,181533,180913,178526,175727,173052
173878,173402,173048,172499,172094,171390,168154,164741,161489
278187,277635,276798,275195,273021,270751,266642,263512,260036
122291,122071,121860,121657,121571,121292,120548,119371,118009
158224,158002,157745,157512,157447,157322,156650,155824,155083
161425,161068,160740,160421,160216,159867,158926,157905,156179
148977,148516,148002,147211,146729,146369,145337,143793,141293
150987,150653,150321,149962,149832,149701,149127,147814,146321
170822,170561,170286,169988,169816,169518,168747,167586,166231
269038,268570,268081,267314,266901,266227,263679,260408,257040
290038,289205,288758,288323,288286,288214,287407,285731,282137
213875,213097,212529,211756,211658,211420,210465,209016,207160
251974,251302,250642,249982,249905,249849,249309,247847,245112
141664,141547,141408,141232,141189,141176,141037,140476,137591
525031,523148,520924,518364,518115,517980,517312,515720,512069
382488,381237,380197,379146,378966,378776,378087,376809,374155
341283,340082,338895,337742,337755,337710,336958,335652,332689
322449,321625,320596,319689,319511,319500,319256,318779,316710
569139,568674,568187,567538,567408,567447,567038,565625,562289
2224,2224,2224,2224,2224,2224,2224,2224,2224
499368,498675,498067,497124,496814,496568,495940,494717,491916
172936,172665,172356,171950,171810,171537,170472,168721,166181
288228,287861,287383,286930,286771,286226,284456,282328,279764
320992,320125,319075,317775,317402,317051,316463,315781,314337
393685,392332,391205,390274,390267,390338,389780,388232,383130
377921,377251,376825,376369,376311,376275,375965,375156,373067
284385,281970,280186,279138,278971,279039,278974,278806,277618
188805,187247,185870,185135,185109,184894,184743,184385,183395
544880,541092,538496,536955,536857,536683,536250,535638,533062
234178,231576,229240,228231,228309,228509,228364,228260,227359
219472,217555,215933,214879,214754,214699,214539,214321,213333
255374,252908,251291,250500,250694,250826,250637,250380,249008
290963,289022,287755,286967,286948,286972,286856,286124,284452
224187,222265,221051,220349,220412,220547,220514,220245,219136
235124,233733,232634,232097,232180,232290,231999,231354,229861
324706,321130,318957,318053,317970,317917,317886,317584,315700
147963,147178,146840,146646,146746,146813,146726,146424,143466
489444,487487,486612,485717,486102,486384,486067,485002,479828
178321,177333,176789,176402,176433,176412,176271,175929,173912
272983,271820,271169,270626,270759,270915,270832,270136,265879
321342,320272,319650,319202,319326,319409,319086,317848,313076
244163,242242,240895,240116,240076,240127,239900,239506,238875
309358,306419,304902,304063,303894,303566,303083,302566,301398
262808,260669,259379,258616,258475,258227,257653,257382,256545
577319,574039,571833,570501,570243,570240,569833,569173,567358
298526,297609,296232,294656,294626,294873,294703,294599,293783
206594,205742,204802,203736,203508,203499,203368,203096,202382
149896,149455,148721,147872,147600,147345,146879,146553,145541
275290,274046,272775,271483,271388,271256,271005,270363,268312
1134526,1129740,1124843,1118922,1116865,1115802,1112974,1108429,1095726
369833,368826,367747,366475,365935,365691,364852,363675,360667
320365,318736,316508,314071,313365,313290,312715,311647,308352
326652,324936,322885,320659,320058,319880,319126,317685,312972
215115,214401,213628,212767,212543,212397,212016,211328,209645
283858,282342,280966,279507,278986,278787,278244,277191,273693
262182,261061,259884,258566,257883,257362,256499,254968,250868
534254,530010,525988,523074,522876,522874,522643,522426,520971
209754,208441,207247,206093,205899,205798,205711,205521,204798
436445,433380,429933,427126,426910,426938,426789,426547,425119
783651,779128,775018,771715,771903,772049,771729,770716,767562
345522,343097,340795,339075,338856,338821,338701,338339,337291
200567,199436,198271,197418,197383,197514,197416,196805,195591
9560,9459,9387,9313,9275,9217,9113,9026,8833
212284,211710,211121,210316,209651,208731,205669,202123,197090
394749,393882,393193,392238,391643,390852,387976,382750,377059
247750,247181,246442,245427,244881,244087,240963,236867,232785
328877,328269,327522,326490,325944,325404,323197,319471,313948
331622,331041,330583,329822,329338,328433,325219,320425,315739
269219,268749,268443,268002,267797,267501,266008,263742,261101
385949,385226,384671,383794,383208,382383,379098,374010,367545
340526,339402,338486,337430,336879,336409,334350,330829,325220
332737,331946,331369,330309,329751,328580,324565,319306,313449
287312,286782,286372,285512,285056,284335,281815,278262,273489
279999,279275,278890,278214,277856,277154,274448,270926,267228
184404,183751,183435,182978,182824,182653,181487,179711,177686
267819,267181,266740,266255,265901,265171,262684,259032,254965
250383,249830,249334,248645,248329,247619,245563,242478,239156
258772,257985,257002,255527,254729,253348,248901,244784,240755
305851,304911,304199,303260,302850,302232,300068,296282,291555
270587,269795,269238,268522,268072,267661,265790,262357,257582
241733,241196,240807,240309,240109,239746,237895,235479,232674
155575,155198,154992,154702,154543,154341,153539,152269,150791
176904,176377,176091,175661,175348,174827,173475,171839,169963
325115,324333,323796,323179,322883,322379,319612,315905,311274
305150,304654,304309,303777,303460,302912,300421,296709,291799
206063,205572,205249,204725,204341,203817,202024,199298,196514
352060,351157,350326,349257,348313,347112,343234,337642,330276
304140,303243,302303,301063,299908,298734,294513,289192,283150
197310,196863,196602,196309,196173,195989,194760,192804,191411
318092,317419,317043,316571,316263,315669,313139,309429,304487
205875,205481,205111,204603,204347,203863,202139,199456,196325
323654,322743,321871,320754,320090,319144,315659,310666,305025
276202,275525,274917,274054,273362,272121,268834,265028,260542
328767,328008,327487,326793,326565,326055,323380,319737,316196
260576,259941,259438,258981,258807,258595,257243,255227,253051
542881,541895,540815,539714,539179,538191,535399,531081,525785
652562,651769,650874,649716,649508,649120,647473,644809,639544
498234,496708,495503,494242,494227,494112,493345,491552,486205
799112,794869,791168,788295,788157,787758,786358,784532,780229
800562,799674,798594,797349,796818,796383,795148,793916,791674
556646,556074,555622,554513,553876,552901,549077,544445,537932
1486100,1483675,1481693,1478429,1475978,1471575,1456053,1435843,1412963
636099,635130,633900,632416,631825,631257,629891,628048,624704
1380433,1377907,1375379,1372629,1372114,1371321,1367896,1360777,1348369
1187020,1184824,1182711,1180094,1178824,1176707,1169789,1157474,1142862
1579572,1577039,1572992,1565732,1559787,1552150,1535677,1522583,1506869
1207275,1199938,1195917,1192487,1191445,1190554,1188195,1185244,1176598
702788,699462,696435,692998,692650,692173,691043,689318,685824
759176,756760,753928,750125,748203,746476,744332,742699,740263
906435,905068,903747,902012,901294,900404,898033,894094,886890
751369,749780,747698,745398,744721,743863,741791,738410,730572
615986,614188,611783,609554,609586,609360,608659,607216,603100
822621,818246,815192,812766,812284,811706,809828,807730,803104
690198,688889,687487,686360,686124,685581,683346,679652,673347
561625,560992,560161,558987,558611,558157,556951,554933,551985
876050,871434,866541,861808,860755,859968,858043,855642,849737
760458,759547,758783,757930,757427,756736,754672,751607,745495
1193633,1191398,1189061,1186483,1185384,1183463,1177304,1167092,1154078
576080,574132,572403,570348,569850,569454,568018,566297,562840
863061,861735,860462,859034,858769,858245,855810,850783,840874
594228,592762,590851,589053,588739,588578,587546,585810,580910
