0,1,2,3,4,5,6,7,8
450,460,558,746,373,323,431,692,1140
644,691,831,881,418,390,458,565,1301
539,546,800,920,399,279,285,337,939
1022,1234,1101,1273,640,474,688,750,1372
396,422,461,564,377,315,295,405,770
630,563,443,461,262,241,301,472,2211
989,1360,1149,798,418,386,673,920,2316
1265,1636,1459,1073,622,567,563,801,1611
843,931,627,571,324,293,336,373,665
554,1370,2466,2671,1136,738,833,899,1290
794,1391,2003,2018,957,690,761,891,1130
558,913,1367,1149,576,338,255,246,408
391,553,796,1163,586,413,478,432,534
1251,789,535,497,271,209,300,868,1920
663,1327,1604,1391,675,588,849,1082,2427
1247,1931,2112,2555,1503,1252,1480,1626,2896
90,85,96,102,65,88,111,135,253
3267,2094,1528,1216,765,742,1020,1129,2292
140,250,274,503,262,149,257,560,1046
396,631,798,842,502,299,407,429,1343
710,1257,1600,2001,1333,1167,1256,905,1674
398,775,649,636,285,275,314,511,1053
1952,2982,2977,3058,1332,834,1000,1396,3241
234,497,717,872,518,383,477,753,1203
483,1147,1267,1337,635,584,763,857,1883
405,650,683,748,341,216,342,703,989
178,302,439,361,166,90,116,146,360
259,480,611,599,426,362,560,924,1909
250,431,482,626,591,656,1087,1109,1564
382,592,745,923,799,911,1369,1641,2938
181,248,301,443,341,648,2030,2576,2998
278,424,381,573,497,780,2754,3188,3725
194,480,740,1467,1999,2453,3974,3653,4322
135,186,210,220,149,307,669,1090,1396
129,195,252,259,150,189,609,773,871
207,332,345,373,301,430,882,1051,1741
306,421,517,790,624,581,1066,1530,2496
237,310,349,398,248,241,568,1180,1528
172,237,286,329,253,364,726,1108,1420
218,422,477,763,554,806,2231,3034,3674
464,763,558,593,284,280,808,1531,3303
597,732,675,865,420,485,974,1479,1988
280,592,650,745,352,278,600,1357,2523
57,90,127,172,90,58,140,494,2406
2728,2212,2613,2854,1485,1149,1366,2141,3872
905,1202,1166,1267,675,611,910,1446,2654
947,1191,1279,1364,597,497,944,1444,2939
386,726,966,1014,548,347,455,636,1976
220,429,468,683,336,179,491,1239,2957
0,0,0,0,0,0,0,0,0
391,608,645,962,567,520,746,1281,2615
171,261,306,420,254,362,952,1585,2467
231,339,461,502,310,609,1544,2043,2686
704,894,1069,1384,810,763,857,1011,1637
860,1288,1225,1212,551,379,770,1554,4599
360,579,500,554,270,223,395,810,1897
1788,2319,2081,1675,965,655,637,705,1504
1149,1535,1506,1181,612,640,537,720,1221
3657,4173,3364,2755,1549,1398,1439,1637,3211
1567,2444,2461,1764,855,549,671,661,1290
1595,1928,1841,1562,860,680,660,717,1326
1806,2430,1983,1494,659,515,649,745,1630
1222,1886,1512,1278,649,501,509,995,1811
1196,1843,1463,1188,553,366,392,594,1271
1095,1431,1268,968,443,305,534,857,1602
2208,3306,2660,1865,1074,888,767,968,2231
1372,1078,699,528,264,220,294,491,2629
4099,2900,1934,1750,772,652,973,1607,4987
1128,1121,818,695,354,320,369,552,1906
1698,1446,1067,945,424,297,404,895,3791
1278,1244,938,797,349,278,527,1283,4214
1573,1880,1646,1289,694,501,623,774,1005
1552,2547,1931,1495,886,904,956,1056,1581
1446,2022,1618,1294,765,752,945,797,1244
3700,3691,3017,2413,1509,1158,1317,1528,2515
1622,1411,1559,1875,873,506,670,614,1199
596,873,958,1182,644,419,408,525,886
489,511,720,902,554,526,643,583,1122
1250,1336,1416,1538,751,655,644,979,2125
3905,4735,5274,6455,4083,3222,4172,5687,12600
909,1020,1161,1399,951,732,1096,1412,3014
667,1423,2048,2515,1467,904,1077,1461,3342
965,1578,2002,2385,1375,961,1226,1791,4528
631,749,829,969,560,464,587,850,1721
862,1400,1452,1658,1050,777,926,1341,3379
652,1037,1188,1429,1047,952,1161,1729,3913
3035,4052,4318,3862,1961,1441,1349,1348,2292
937,1259,1297,1369,740,573,466,548,957
1866,2825,3436,3348,1641,1128,1021,1083,2002
4533,4976,4795,4530,2085,1620,1640,2240,3940
1563,2275,2417,2230,1177,855,761,946,1482
698,1111,1189,1116,527,290,364,775,1316
77,63,55,59,46,53,79,79,160
330,521,592,832,774,1063,2739,3373,5124
605,831,784,1047,824,1044,2636,4640,5895
288,510,700,1012,744,985,2771,3770,4524
469,590,757,1065,779,824,2067,3375,5378
405,545,516,792,628,1024,2817,4282,5077
439,470,387,508,348,435,1348,2051,2757
407,673,618,935,749,1023,2941,4529,6484
719,1073,1019,1225,875,856,2027,3268,5466
623,756,684,1093,793,1332,3538,4876,6215
334,488,454,843,610,867,2253,3245,4806
618,716,529,763,554,857,2408,3271,4047
421,603,419,546,323,338,1085,1633,2163
449,604,523,589,496,826,2207,3310,4272
403,528,538,735,504,831,1878,2856,3548
434,713,943,1451,1074,1598,3975,4178,4832
587,863,800,1039,692,877,2043,3450,4800
520,739,649,818,644,663,1760,3065,4684
393,509,453,570,365,501,1640,2229,2974
290,354,257,339,249,294,759,1172,1564
335,484,352,488,413,619,1270,1616,2065
511,739,635,741,511,691,2446,3368,4763
357,471,406,581,446,662,2164,3286,4885
265,437,365,555,476,640,1619,2464,3005
618,855,894,1163,1112,1452,3564,5126,7484
574,851,967,1309,1305,1485,3857,5010,6515
375,435,333,370,253,297,1102,1747,1700
403,621,466,569,449,706,2213,3312,4925
253,358,386,534,377,577,1536,2407,3224
602,873,933,1226,931,1226,3197,4583,5975
408,628,646,908,827,1355,2975,3682,4833
503,722,617,798,471,697,2380,3310,3924
393,591,561,574,364,387,1250,1852,2361
619,905,1091,1218,882,1237,2607,4094,5435
547,740,913,1194,617,695,1591,2542,4968
1017,1405,1361,1497,665,598,985,1886,4838
2120,3699,3848,3643,1738,1584,2099,2636,4742
835,976,1125,1380,937,872,1418,1528,2512
320,522,487,1069,756,1160,3279,4319,6577
1792,2259,2266,3365,2968,4837,13476,18499,24115
519,887,1165,1531,993,981,1512,2024,3417
1226,2212,2514,3009,1566,1621,3457,6654,11631
1365,2038,2203,2828,1989,2728,6339,11212,14673
1096,2237,3599,6678,6308,8556,15350,14837,18582
