0,1,2,3,4,5,6,7,8
458,473,562,750,386,326,435,686,1149
649,696,831,885,428,386,467,567,1276
538,546,799,919,410,286,294,342,918
1013,1230,1100,1270,646,470,667,748,1355
405,436,469,571,378,324,319,414,792
644,570,456,472,269,254,328,488,2215
988,1359,1149,803,424,389,653,917,2289
1265,1636,1459,1075,628,571,580,803,1619
843,931,635,575,336,306,356,389,691
556,1368,2466,2671,1151,738,832,899,1283
793,1392,2003,2018,958,689,761,890,1131
554,915,1367,1150,577,343,262,248,372
390,551,796,1163,595,412,477,436,519
1251,792,534,499,278,211,294,867,1921
663,1329,1605,1391,680,589,849,1083,2426
1249,1931,2112,2555,1499,1254,1479,1627,2898
106,115,128,139,86,110,141,165,285
3268,2094,1528,1216,765,742,1020,1129,2292
117,237,275,499,270,155,235,558,1040
382,631,798,843,503,309,402,433,1323
710,1257,1600,2001,1334,1167,1256,912,1676
413,776,658,641,294,286,337,519,1077
1949,2982,2978,3057,1339,833,997,1396,3221
256,500,717,873,514,390,485,756,1222
491,1147,1267,1337,641,584,766,860,1898
402,651,682,747,352,218,327,700,987
167,294,437,367,177,96,102,133,294
244,478,611,598,426,362,559,925,1910
245,427,482,625,592,656,1089,1109,1563
391,596,746,924,799,912,1370,1641,2938
180,253,306,446,349,648,2029,2576,2997
276,430,402,583,499,784,2754,3188,3725
201,478,739,1466,1999,2453,3972,3653,4321
145,204,227,243,165,306,671,1091,1408
122,191,249,261,159,183,593,773,875
194,312,340,365,299,418,875,1054,1719
316,433,518,791,623,588,1073,1530,2498
239,315,352,409,261,257,575,1179,1534
163,235,282,325,254,354,721,1105,1421
218,417,479,761,553,805,2232,3034,3675
464,760,562,592,290,274,807,1531,3303
595,732,681,864,431,480,974,1479,1989
296,594,653,748,362,296,606,1358,2524
60,93,128,175,101,68,136,480,2358
2728,2212,2613,2854,1485,1148,1367,2140,3871
905,1203,1167,1267,678,611,910,1445,2654
946,1190,1279,1365,603,495,943,1443,2938
383,726,966,1014,552,350,448,634,1958
220,423,468,682,343,186,457,1239,2957
0,0,0,0,0,0,0,0,0
387,610,645,962,569,519,745,1280,2615
176,256,309,419,262,360,952,1585,2467
233,344,461,506,320,606,1544,2043,2686
703,895,1069,1384,811,762,856,1011,1640
860,1288,1225,1214,563,380,768,1554,4599
353,579,502,553,281,221,383,807,1899
1787,2318,2081,1675,964,662,635,707,1505
1149,1535,1506,1182,619,638,556,719,1238
3657,4173,3364,2754,1548,1384,1430,1631,3182
1567,2443,2461,1764,859,556,668,668,1292
1595,1928,1841,1561,859,678,659,715,1319
1806,2430,1983,1495,670,525,657,753,1643
1222,1886,1513,1278,659,513,529,996,1828
1196,1843,1464,1188,567,384,413,602,1287
1095,1431,1268,973,460,330,545,861,1623
2206,3305,2659,1864,1071,880,766,957,2198
1372,1079,709,543,276,241,322,508,2634
4098,2900,1932,1747,782,638,952,1600,4980
1129,1121,823,701,364,333,387,565,1918
1698,1446,1067,946,435,308,411,896,3784
1278,1244,939,801,359,292,539,1284,4214
1572,1880,1646,1290,698,509,626,777,1028
1550,2547,1931,1495,886,906,956,1055,1577
1446,2023,1618,1294,766,752,944,801,1247
3700,3691,3017,2412,1509,1158,1316,1527,2514
1629,1410,1558,1874,883,506,648,623,1185
595,873,959,1183,644,425,422,524,897
499,520,723,905,550,520,635,599,1132
1246,1334,1414,1537,757,650,646,970,2098
3903,4733,5274,6455,4083,3222,4172,5687,12598
909,1021,1161,1398,950,734,1097,1413,3014
668,1423,2048,2515,1467,906,1078,1462,3342
966,1578,2001,2385,1375,964,1227,1791,4528
644,751,830,970,570,475,599,852,1722
863,1400,1452,1658,1050,781,929,1341,3380
651,1037,1188,1429,1047,949,1160,1728,3915
3035,4052,4319,3861,1961,1442,1347,1349,2290
938,1259,1297,1369,744,578,486,553,975
1866,2825,3436,3348,1641,1128,1018,1082,1991
4531,4976,4795,4530,2085,1621,1640,2240,3940
1562,2275,2417,2229,1177,855,763,946,1484
694,1110,1191,1119,536,307,378,758,1320
95,101,95,105,75,89,132,129,228
340,530,601,841,775,1069,2740,3373,5128
603,824,781,1043,821,1040,2633,4640,5896
297,513,693,1013,746,990,2774,3770,4525
473,596,745,1052,778,824,2066,3375,5367
399,548,519,792,628,1017,2821,4281,5079
442,483,404,519,359,445,1351,2051,2760
406,663,614,913,743,1010,2884,4529,6474
702,1039,1004,1202,870,850,2017,3267,5440
617,758,687,1087,795,1319,3519,4876,6217
342,498,465,841,616,871,2255,3245,4809
606,718,544,764,557,856,2412,3271,4048
421,605,440,553,338,353,1090,1633,2169
454,608,531,599,499,829,2210,3310,4273
416,537,546,745,510,826,1882,2856,3551
432,710,940,1442,1075,1589,3976,4178,4833
581,861,803,1040,696,866,2039,3451,4806
519,739,653,820,643,665,1760,3065,4684
402,517,463,579,381,511,1641,2229,2976
301,371,285,357,262,313,768,1172,1576
343,493,378,498,416,623,1271,1615,2069
503,728,632,740,514,690,2409,3368,4763
364,481,420,586,451,667,2167,3286,4887
275,446,382,559,475,640,1623,2464,3007
600,845,883,1155,1106,1436,3509,5126,7457
569,840,959,1301,1302,1489,3817,5010,6518
383,449,356,393,270,314,1106,1747,1718
405,619,481,576,453,708,2215,3312,4926
265,373,393,542,385,583,1538,2407,3225
590,853,912,1194,928,1208,3139,4583,5975
416,631,649,909,826,1337,2978,3682,4834
496,713,616,790,480,688,2328,3310,3926
400,592,563,584,376,401,1253,1852,2365
616,908,1091,1218,882,1237,2606,4094,5435
546,739,914,1194,622,695,1590,2543,4969
1017,1402,1361,1497,672,598,985,1886,4836
2120,3699,3849,3644,1739,1584,2098,2638,4741
835,977,1125,1380,937,872,1418,1528,2511
319,522,487,1068,757,1160,3279,4319,6576
1794,2258,2266,3365,2968,4837,13475,18499,24119
516,888,1165,1531,993,981,1514,2024,3417
1226,2213,2513,3009,1566,1621,3458,6655,11632
1365,2039,2204,2828,1989,2728,6341,11210,14673
1095,2237,3599,6677,6308,8556,15348,14836,18581
6951,7400,5749,5219,3363,3043,3898,4595,9415
1949,2994,3186,3809,1822,1620,1857,2483,3974
1183,2123,2720,3825,2744,2730,2879,2742,3400
759,1220,1356,1822,1189,1350,2394,3887,6872
1070,1478,2048,2398,1456,1503,2319,3569,7413
1163,1663,2337,2433,1050,937,1132,1832,3988
3205,4107,3680,3362,1944,1806,2609,2997,5254
768,1228,1396,1380,772,927,2166,3505,6094
338,567,791,1147,686,735,1240,2016,2950
2065,3987,4753,5282,2897,2411,2932,3507,6468
506,819,815,970,739,924,1960,2934,5776
1420,2087,2387,2835,1915,2564,5738,9501,13099
1087,1734,1824,2246,1248,1080,1738,2093,3704
515,1152,1226,1568,795,923,2284,4544,8984
846,1349,1826,1975,1047,789,1326,1930,4701
