0,1,2,3,4,5,6,7,8
455,470,560,748,381,326,436,687,1151
648,695,831,882,423,387,466,568,1284
538,546,799,921,406,283,292,339,924
1016,1231,1100,1271,643,471,672,748,1360
403,431,465,565,377,323,312,412,789
640,567,452,465,265,252,321,483,2214
989,1359,1150,800,421,390,659,917,2292
1265,1636,1459,1073,623,570,574,802,1617
843,931,632,572,327,302,351,384,687
555,1367,2466,2672,1144,738,833,899,1285
796,1391,2002,2018,957,689,761,890,1132
557,914,1367,1149,577,341,261,250,382
389,551,796,1163,590,413,477,435,526
1251,791,534,497,275,211,295,867,1920
663,1328,1605,1391,677,589,849,1082,2427
1248,1931,2112,2555,1500,1253,1479,1628,2897
103,110,120,123,77,104,134,159,281
3267,2094,1528,1216,765,740,1020,1129,2292
124,243,275,501,265,154,239,556,1044
387,631,798,842,501,307,405,434,1328
710,1257,1599,2001,1333,1167,1256,909,1675
409,775,652,638,288,282,332,514,1075
1951,2982,2978,3057,1334,832,998,1395,3225
252,498,717,872,514,389,482,754,1221
489,1147,1267,1337,636,585,765,859,1895
403,651,682,747,347,218,333,702,987
173,300,438,364,171,93,107,138,313
251,481,611,598,426,362,559,925,1909
248,429,482,626,592,656,1089,1109,1562
389,594,746,923,799,912,1369,1641,2938
181,252,304,445,345,648,2029,2577,2998
276,429,393,576,499,781,2753,3188,3724
200,479,738,1466,1999,2453,3972,3653,4322
145,199,221,233,157,307,670,1091,1406
124,193,252,260,154,187,603,772,874
197,319,344,370,299,422,877,1053,1725
315,431,517,791,623,586,1069,1530,2495
239,315,352,403,254,253,572,1180,1533
167,237,287,326,253,357,722,1106,1421
219,420,478,762,554,806,2231,3034,3674
464,760,559,593,286,278,807,1531,3304
596,732,680,864,424,484,973,1479,1988
292,594,653,746,355,292,604,1358,2523
60,93,128,174,96,65,137,484,2371
2728,2212,2613,2852,1485,1149,1365,2140,3872
904,1202,1165,1267,677,611,911,1444,2654
947,1191,1279,1365,600,496,943,1444,2937
385,726,966,1014,549,350,451,635,1960
220,427,467,681,339,185,463,1239,2958
0,0,0,0,0,0,0,0,0
390,611,645,962,568,520,746,1281,2615
176,258,308,422,259,361,952,1584,2467
233,340,460,502,315,606,1542,2043,2686
703,895,1069,1384,810,763,856,1013,1635
860,1288,1224,1213,556,379,769,1554,4599
357,580,500,553,275,220,389,809,1898
1787,2319,2081,1675,965,658,635,706,1505
1149,1535,1506,1181,615,639,550,719,1237
3657,4173,3364,2755,1548,1390,1431,1634,3193
1567,2444,2461,1765,856,556,670,668,1292
1595,1928,1841,1562,860,679,659,715,1322
1806,2430,1983,1494,661,520,654,752,1643
1222,1886,1512,1278,654,508,522,997,1824
1196,1843,1463,1188,557,378,407,597,1286
1095,1431,1268,969,451,320,543,860,1620
2207,3305,2659,1865,1073,883,766,959,2203
1372,1078,706,535,267,235,318,502,2633
4098,2900,1933,1749,776,643,958,1601,4980
1129,1121,821,696,358,330,383,562,1917
1698,1446,1067,945,430,305,410,896,3787
1278,1244,939,799,353,289,536,1283,4214
1572,1880,1646,1289,696,508,626,775,1023
1552,2547,1931,1495,886,904,956,1054,1578
1447,2023,1618,1294,765,752,945,799,1247
3701,3691,3017,2412,1509,1158,1316,1525,2512
1628,1411,1558,1874,876,506,656,622,1188
594,873,959,1182,644,425,420,524,898
496,517,721,903,550,523,637,596,1131
1246,1335,1415,1538,754,652,646,972,2103
3905,4734,5274,6455,4083,3223,4172,5687,12599
909,1021,1161,1399,951,733,1096,1412,3014
668,1423,2048,2515,1467,905,1078,1461,3341
966,1578,2002,2385,1375,962,1226,1791,4528
639,749,829,969,563,470,593,851,1722
863,1400,1452,1658,1050,779,928,1341,3380
652,1037,1188,1429,1046,951,1160,1729,3914
3035,4054,4319,3861,1961,1440,1346,1349,2291
938,1259,1297,1369,741,576,480,552,971
1867,2825,3436,3348,1640,1127,1019,1082,1993
4535,4976,4795,4531,2085,1620,1640,2240,3939
1562,2275,2417,2230,1177,855,762,946,1484
695,1110,1190,1117,532,303,376,765,1324
91,91,84,86,61,79,119,117,218
339,528,599,836,775,1067,2739,3373,5127
605,826,782,1045,823,1043,2636,4640,5897
296,513,697,1013,744,986,2772,3770,4525
472,595,746,1058,777,824,2066,3375,5369
401,546,517,793,628,1019,2821,4282,5077
442,477,399,513,353,443,1349,2051,2759
406,663,615,924,748,1012,2900,4528,6476
705,1047,1010,1213,875,851,2021,3268,5447
618,758,687,1090,793,1322,3525,4876,6216
339,495,462,843,612,869,2254,3245,4808
609,719,538,764,555,857,2411,3271,4049
422,605,433,549,331,348,1088,1633,2165
453,607,527,594,496,827,2209,3310,4271
411,534,544,739,506,828,1881,2856,3550
